;year_month;uf;product;unit;volume;created_at
80;2013-09-01;TOCANTINS;ÓLEO DIESEL S-10;(m3);13649.2;2022-09-12 23:11:30.887749
81;2013-10-01;TOCANTINS;ÓLEO DIESEL S-10;(m3);16054.1;2022-09-12 23:11:30.887749
82;2013-11-01;TOCANTINS;ÓLEO DIESEL S-10;(m3);15571.4;2022-09-12 23:11:30.887749
83;2013-12-01;TOCANTINS;ÓLEO DIESEL S-10;(m3);14754.1;2022-09-12 23:11:30.887749
84;2013-01-01;MARANHÃO;ÓLEO DIESEL S-10;(m3);8896.45;2022-09-12 23:11:30.887749
85;2013-02-01;MARANHÃO;ÓLEO DIESEL S-10;(m3);8362.806;2022-09-12 23:11:30.887749
86;2013-03-01;MARANHÃO;ÓLEO DIESEL S-10;(m3);9988.0;2022-09-12 23:11:30.887749
87;2013-04-01;MARANHÃO;ÓLEO DIESEL S-10;(m3);11424.5;2022-09-12 23:11:30.887749
88;2013-05-01;MARANHÃO;ÓLEO DIESEL S-10;(m3);12254.0;2022-09-12 23:11:30.887749
89;2013-06-01;MARANHÃO;ÓLEO DIESEL S-10;(m3);12974.0;2022-09-12 23:11:30.887749
90;2013-07-01;MARANHÃO;ÓLEO DIESEL S-10;(m3);15360.307;2022-09-12 23:11:30.887749
91;2013-08-01;MARANHÃO;ÓLEO DIESEL S-10;(m3);16496.0;2022-09-12 23:11:30.887749
92;2013-09-01;MARANHÃO;ÓLEO DIESEL S-10;(m3);16496.8;2022-09-12 23:11:30.887749
93;2013-10-01;MARANHÃO;ÓLEO DIESEL S-10;(m3);19823.0;2022-09-12 23:11:30.887749
94;2013-11-01;MARANHÃO;ÓLEO DIESEL S-10;(m3);19972.0;2022-09-12 23:11:30.887749
95;2013-12-01;MARANHÃO;ÓLEO DIESEL S-10;(m3);20304.0;2022-09-12 23:11:30.887749
96;2013-01-01;PIAUÍ;ÓLEO DIESEL S-10;(m3);4048.0;2022-09-12 23:11:30.887749
97;2013-02-01;PIAUÍ;ÓLEO DIESEL S-10;(m3);3317.5;2022-09-12 23:11:30.887749
98;2013-03-01;PIAUÍ;ÓLEO DIESEL S-10;(m3);4626.5;2022-09-12 23:11:30.887749
99;2013-04-01;PIAUÍ;ÓLEO DIESEL S-10;(m3);5431.8;2022-09-12 23:11:30.887749
100;2013-05-01;PIAUÍ;ÓLEO DIESEL S-10;(m3);6373.25;2022-09-12 23:11:30.887749
101;2013-06-01;PIAUÍ;ÓLEO DIESEL S-10;(m3);6632.1;2022-09-12 23:11:30.887749
102;2013-07-01;PIAUÍ;ÓLEO DIESEL S-10;(m3);7815.1;2022-09-12 23:11:30.887749
103;2013-08-01;PIAUÍ;ÓLEO DIESEL S-10;(m3);8265.4;2022-09-12 23:11:30.887749
104;2013-09-01;PIAUÍ;ÓLEO DIESEL S-10;(m3);8511.1;2022-09-12 23:11:30.887749
105;2013-10-01;PIAUÍ;ÓLEO DIESEL S-10;(m3);9648.9;2022-09-12 23:11:30.887749
106;2013-11-01;PIAUÍ;ÓLEO DIESEL S-10;(m3);9717.75;2022-09-12 23:11:30.887749
107;2013-12-01;PIAUÍ;ÓLEO DIESEL S-10;(m3);9923.1;2022-09-12 23:11:30.887749
108;2013-01-01;CEARÁ;ÓLEO DIESEL S-10;(m3);56758.646;2022-09-12 23:11:30.887749
109;2013-02-01;CEARÁ;ÓLEO DIESEL S-10;(m3);47727.5;2022-09-12 23:11:30.887749
110;2013-03-01;CEARÁ;ÓLEO DIESEL S-10;(m3);46672.338;2022-09-12 23:11:30.887749
111;2013-04-01;CEARÁ;ÓLEO DIESEL S-10;(m3);47724.922;2022-09-12 23:11:30.887749
112;2013-05-01;CEARÁ;ÓLEO DIESEL S-10;(m3);50888.425;2022-09-12 23:11:30.887749
113;2013-06-01;CEARÁ;ÓLEO DIESEL S-10;(m3);47884.145;2022-09-12 23:11:30.887749
114;2013-07-01;CEARÁ;ÓLEO DIESEL S-10;(m3);52901.601;2022-09-12 23:11:30.887749
115;2013-08-01;CEARÁ;ÓLEO DIESEL S-10;(m3);51586.778;2022-09-12 23:11:30.887749
116;2013-09-01;CEARÁ;ÓLEO DIESEL S-10;(m3);54451.938;2022-09-12 23:11:30.887749
117;2013-10-01;CEARÁ;ÓLEO DIESEL S-10;(m3);56798.731;2022-09-12 23:11:30.887749
118;2013-11-01;CEARÁ;ÓLEO DIESEL S-10;(m3);55128.903;2022-09-12 23:11:30.887749
119;2013-12-01;CEARÁ;ÓLEO DIESEL S-10;(m3);54911.445;2022-09-12 23:11:30.887749
120;2013-01-01;RIO GRANDE DO NORTE;ÓLEO DIESEL S-10;(m3);2722.0;2022-09-12 23:11:30.887749
121;2013-02-01;RIO GRANDE DO NORTE;ÓLEO DIESEL S-10;(m3);2572.0;2022-09-12 23:11:30.887749
122;2013-03-01;RIO GRANDE DO NORTE;ÓLEO DIESEL S-10;(m3);3025.55;2022-09-12 23:11:30.887749
123;2013-04-01;RIO GRANDE DO NORTE;ÓLEO DIESEL S-10;(m3);3346.0;2022-09-12 23:11:30.887749
124;2013-05-01;RIO GRANDE DO NORTE;ÓLEO DIESEL S-10;(m3);3513.0;2022-09-12 23:11:30.887749
125;2013-06-01;RIO GRANDE DO NORTE;ÓLEO DIESEL S-10;(m3);3486.5;2022-09-12 23:11:30.887749
126;2013-07-01;RIO GRANDE DO NORTE;ÓLEO DIESEL S-10;(m3);4413.0;2022-09-12 23:11:30.887749
127;2013-08-01;RIO GRANDE DO NORTE;ÓLEO DIESEL S-10;(m3);4656.0;2022-09-12 23:11:30.887749
128;2013-09-01;RIO GRANDE DO NORTE;ÓLEO DIESEL S-10;(m3);4941.143;2022-09-12 23:11:30.887749
129;2013-10-01;RIO GRANDE DO NORTE;ÓLEO DIESEL S-10;(m3);5583.0;2022-09-12 23:11:30.887749
