ANO;MÊS;GRANDE REGIÃO;UNIDADE DA FEDERAÇÃO;PRODUTO;VENDAS
2013;ABR;REGIÃO NORDESTE;PIAUÍ;ÓLEO DIESEL S-10;5431,8
2013;MAI;REGIÃO NORDESTE;PIAUÍ;ÓLEO DIESEL S-10;6373,25
2013;JUN;REGIÃO NORDESTE;PIAUÍ;ÓLEO DIESEL S-10;6632,1
2013;JUL;REGIÃO NORDESTE;PIAUÍ;ÓLEO DIESEL S-10;7815,1
2013;AGO;REGIÃO NORDESTE;PIAUÍ;ÓLEO DIESEL S-10;8265,4
2013;SET;REGIÃO NORDESTE;PIAUÍ;ÓLEO DIESEL S-10;8511,1
2013;OUT;REGIÃO NORDESTE;PIAUÍ;ÓLEO DIESEL S-10;9648,9
2013;NOV;REGIÃO NORDESTE;PIAUÍ;ÓLEO DIESEL S-10;9717,75
2013;DEZ;REGIÃO NORDESTE;PIAUÍ;ÓLEO DIESEL S-10;9923,1
2013;JAN;REGIÃO NORDESTE;CEARÁ;ÓLEO DIESEL S-10;56758,646
2013;FEV;REGIÃO NORDESTE;CEARÁ;ÓLEO DIESEL S-10;47727,5
2013;MAR;REGIÃO NORDESTE;CEARÁ;ÓLEO DIESEL S-10;46672,338
2013;ABR;REGIÃO NORDESTE;CEARÁ;ÓLEO DIESEL S-10;47724,922
2013;MAI;REGIÃO NORDESTE;CEARÁ;ÓLEO DIESEL S-10;50888,425
2013;JUN;REGIÃO NORDESTE;CEARÁ;ÓLEO DIESEL S-10;47884,145
2013;JUL;REGIÃO NORDESTE;CEARÁ;ÓLEO DIESEL S-10;52901,601
2013;AGO;REGIÃO NORDESTE;CEARÁ;ÓLEO DIESEL S-10;51586,778
2013;SET;REGIÃO NORDESTE;CEARÁ;ÓLEO DIESEL S-10;54451,938
2013;OUT;REGIÃO NORDESTE;CEARÁ;ÓLEO DIESEL S-10;56798,731
2013;NOV;REGIÃO NORDESTE;CEARÁ;ÓLEO DIESEL S-10;55128,903
2013;DEZ;REGIÃO NORDESTE;CEARÁ;ÓLEO DIESEL S-10;54911,445
2013;JAN;REGIÃO NORDESTE;RIO GRANDE DO NORTE;ÓLEO DIESEL S-10;2722
2013;FEV;REGIÃO NORDESTE;RIO GRANDE DO NORTE;ÓLEO DIESEL S-10;2572
2013;MAR;REGIÃO NORDESTE;RIO GRANDE DO NORTE;ÓLEO DIESEL S-10;3025,55
2013;ABR;REGIÃO NORDESTE;RIO GRANDE DO NORTE;ÓLEO DIESEL S-10;3346
2013;MAI;REGIÃO NORDESTE;RIO GRANDE DO NORTE;ÓLEO DIESEL S-10;3513
2013;JUN;REGIÃO NORDESTE;RIO GRANDE DO NORTE;ÓLEO DIESEL S-10;3486,5
2013;JUL;REGIÃO NORDESTE;RIO GRANDE DO NORTE;ÓLEO DIESEL S-10;4413
2013;AGO;REGIÃO NORDESTE;RIO GRANDE DO NORTE;ÓLEO DIESEL S-10;4656
2013;SET;REGIÃO NORDESTE;RIO GRANDE DO NORTE;ÓLEO DIESEL S-10;4941,143
2013;OUT;REGIÃO NORDESTE;RIO GRANDE DO NORTE;ÓLEO DIESEL S-10;5583
2013;NOV;REGIÃO NORDESTE;RIO GRANDE DO NORTE;ÓLEO DIESEL S-10;6008,5
2013;DEZ;REGIÃO NORDESTE;RIO GRANDE DO NORTE;ÓLEO DIESEL S-10;6101
2013;JAN;REGIÃO NORDESTE;PARAÍBA;ÓLEO DIESEL S-10;2401,5
2013;FEV;REGIÃO NORDESTE;PARAÍBA;ÓLEO DIESEL S-10;2964,5
2013;MAR;REGIÃO NORDESTE;PARAÍBA;ÓLEO DIESEL S-10;3090
2013;ABR;REGIÃO NORDESTE;PARAÍBA;ÓLEO DIESEL S-10;3641,5
2013;MAI;REGIÃO NORDESTE;PARAÍBA;ÓLEO DIESEL S-10;4308
2013;JUN;REGIÃO NORDESTE;PARAÍBA;ÓLEO DIESEL S-10;3961,5
2013;JUL;REGIÃO NORDESTE;PARAÍBA;ÓLEO DIESEL S-10;5212,49
2013;AGO;REGIÃO NORDESTE;PARAÍBA;ÓLEO DIESEL S-10;5931
2013;SET;REGIÃO NORDESTE;PARAÍBA;ÓLEO DIESEL S-10;6035,96
2013;OUT;REGIÃO NORDESTE;PARAÍBA;ÓLEO DIESEL S-10;6856,99
2013;NOV;REGIÃO NORDESTE;PARAÍBA;ÓLEO DIESEL S-10;7049,5
2013;DEZ;REGIÃO NORDESTE;PARAÍBA;ÓLEO DIESEL S-10;7267,97
2013;JAN;REGIÃO NORDESTE;PERNAMBUCO;ÓLEO DIESEL S-10;94832,55
2013;FEV;REGIÃO NORDESTE;PERNAMBUCO;ÓLEO DIESEL S-10;69172,759
2013;MAR;REGIÃO NORDESTE;PERNAMBUCO;ÓLEO DIESEL S-10;76060,5
2013;ABR;REGIÃO NORDESTE;PERNAMBUCO;ÓLEO DIESEL S-10;73727,45
2013;MAI;REGIÃO NORDESTE;PERNAMBUCO;ÓLEO DIESEL S-10;57373,929
2013;JUN;REGIÃO NORDESTE;PERNAMBUCO;ÓLEO DIESEL S-10;49852,099
2013;JUL;REGIÃO NORDESTE;PERNAMBUCO;ÓLEO DIESEL S-10;56364,687
2013;AGO;REGIÃO NORDESTE;PERNAMBUCO;ÓLEO DIESEL S-10;58276,961
2013;SET;REGIÃO NORDESTE;PERNAMBUCO;ÓLEO DIESEL S-10;58177,23
2013;OUT;REGIÃO NORDESTE;PERNAMBUCO;ÓLEO DIESEL S-10;66354,85
2013;NOV;REGIÃO NORDESTE;PERNAMBUCO;ÓLEO DIESEL S-10;66082,208
2013;DEZ;REGIÃO NORDESTE;PERNAMBUCO;ÓLEO DIESEL S-10;64451,12
2013;JAN;REGIÃO NORDESTE;ALAGOAS;ÓLEO DIESEL S-10;4078
2013;FEV;REGIÃO NORDESTE;ALAGOAS;ÓLEO DIESEL S-10;3535,5
2013;MAR;REGIÃO NORDESTE;ALAGOAS;ÓLEO DIESEL S-10;4124
2013;ABR;REGIÃO NORDESTE;ALAGOAS;ÓLEO DIESEL S-10;3771
2013;MAI;REGIÃO NORDESTE;ALAGOAS;ÓLEO DIESEL S-10;4072,003
2013;JUN;REGIÃO NORDESTE;ALAGOAS;ÓLEO DIESEL S-10;4019
2013;JUL;REGIÃO NORDESTE;ALAGOAS;ÓLEO DIESEL S-10;4852,5
2013;AGO;REGIÃO NORDESTE;ALAGOAS;ÓLEO DIESEL S-10;5242
2013;SET;REGIÃO NORDESTE;ALAGOAS;ÓLEO DIESEL S-10;5214,57
2013;OUT;REGIÃO NORDESTE;ALAGOAS;ÓLEO DIESEL S-10;6391,064
2013;NOV;REGIÃO NORDESTE;ALAGOAS;ÓLEO DIESEL S-10;6769
